Brand,Model,Year,Engine CC,Power (BHP),Mileage (kmpl),Kms Driven,Fuel Type,Bike Type,Condition,Transmission,Owner Type,Price
Harley-Davidson,Fat Boy,2008,650,79.3,41.5,25256,Petrol,Naked,New,Manual,3rd Owner,640200.19
Ducati,Monster,2015,250,28.8,26.4,49035,Electric,Naked,Like New,Automatic,2nd Owner,172896.48
Suzuki,V-Strom,2016,250,26.5,36.3,42800,Petrol,Sport,New,Manual,3rd Owner,44602.01
Kawasaki,Z900,2019,1084,169.4,42.7,114805,Petrol,Commuter,New,Automatic,3rd Owner,317544.68
Ducati,SuperSport,2020,650,103.3,16.7,94344,Petrol,Scooter,Like New,Automatic,3rd Owner,492321.95
Honda,Activa,2017,110,14.9,40.8,85648,Petrol,Sport,New,Manual,2nd Owner,15000.54
Suzuki,Hayabusa,2018,390,41.3,26.4,35169,Petrol,Scooter,Like New,Automatic,1st Owner,104726.61
Royal Enfield,Himalayan,2014,883,72.5,26.1,36583,Petrol,Commuter,New,Automatic,1st Owner,313703.89
Royal Enfield,Himalayan,2010,1340,161.8,33.4,39150,Petrol,Scooter,New,Automatic,1st Owner,656486.86
Kawasaki,Ninja 300,2011,1340,201.0,18.0,95021,Petrol,Naked,Used,Automatic,3rd Owner,461290.69
TVS,Raider 125,2015,1084,66.6,29.8,22667,Petrol,Adventure,New,Automatic,2nd Owner,296465.0
Royal Enfield,Meteor 350,2012,160,23.1,37.4,85696,Petrol,Adventure,Used,Manual,3rd Owner,26356.81
Kawasaki,Z900,2016,110,11.5,45.5,9307,Petrol,Naked,Like New,Manual,1st Owner,22708.04
Suzuki,Access 125,2012,883,99.1,23.0,36869,Petrol,Commuter,Like New,Manual,1st Owner,158246.63
TVS,Raider 125,2020,883,60.3,17.4,104048,Petrol,Commuter,Used,Manual,2nd Owner,121138.74
Kawasaki,W175,2020,350,49.2,43.0,15117,Petrol,Adventure,Like New,Manual,3rd Owner,123431.57
Honda,Activa,2018,300,44.0,46.7,67897,Petrol,Scooter,Used,Automatic,2nd Owner,44066.53
KTM,Duke 125,2014,883,68.8,17.4,1354,Petrol,Naked,Used,Automatic,1st Owner,243702.23
Yamaha,FZS-Fi,2015,1250,134.0,47.9,30882,Petrol,Naked,Used,Automatic,3rd Owner,423063.51
Kawasaki,W175,2009,390,60.7,27.5,112220,Petrol,Scooter,New,Automatic,2nd Owner,162039.79
Ducati,Multistrada,2012,300,27.5,45.7,19503,Petrol,Scooter,Used,Automatic,3rd Owner,102235.08
Ducati,Monster,2017,110,13.9,68.5,60385,Petrol,Sport,Like New,Manual,1st Owner,52397.79
Honda,Activa,2018,650,54.8,29.7,28677,Petrol,Adventure,Used,Manual,1st Owner,94521.26
TVS,Ntorq 125,2006,650,42.6,52.6,37218,Petrol,Naked,Used,Manual,1st Owner,70429.14
Harley-Davidson,Street 750,2008,1000,80.0,16.7,102112,Petrol,Commuter,New,Automatic,3rd Owner,472921.23
TVS,Raider 125,2013,1250,114.2,32.6,101700,Petrol,Scooter,Like New,Automatic,3rd Owner,346771.91
Harley-Davidson,Fat Boy,2010,390,28.0,39.9,89323,Petrol,Cruiser,Used,Manual,1st Owner,139312.51
Harley-Davidson,Iron 883,2021,110,12.9,68.5,57805,Petrol,Naked,Used,Automatic,2nd Owner,54867.05
TVS,Apache RTR 160,2022,150,20.5,51.1,11998,Petrol,Adventure,Like New,Manual,1st Owner,30012.63
Harley-Davidson,Fat Boy,2015,125,11.2,29.3,102882,Petrol,Adventure,New,Automatic,3rd Owner,71183.9
Honda,CB Hornet,2015,750,114.4,23.7,101134,Petrol,Adventure,Like New,Manual,3rd Owner,210692.13
TVS,Apache RTR 200,2011,160,14.8,33.2,79395,Petrol,Sport,New,Automatic,1st Owner,8000.0
Kawasaki,Z900,2014,180,25.8,42.6,28973,Petrol,Sport,New,Automatic,1st Owner,59855.99
Kawasaki,Ninja ZX-10R,2006,883,119.8,35.3,77860,Petrol,Sport,New,Manual,1st Owner,311762.57
TVS,Jupiter,2015,750,45.5,28.7,47667,Petrol,Naked,New,Automatic,1st Owner,196648.42
Yamaha,MT-15,2016,350,43.5,56.2,39912,Petrol,Scooter,New,Automatic,3rd Owner,132391.92
Royal Enfield,Himalayan,2006,160,10.6,65.2,68476,Petrol,Scooter,Used,Automatic,1st Owner,17943.95
Royal Enfield,Himalayan,2024,750,72.4,53.3,68473,Petrol,Scooter,Like New,Automatic,1st Owner,345542.02
Honda,CBR 650R,2011,350,22.2,35.9,82015,Petrol,Sport,Used,Manual,2nd Owner,56220.3
Honda,Africa Twin,2017,1084,171.6,19.5,29689,Petrol,Sport,New,Automatic,2nd Owner,414787.09
Suzuki,Intruder,2005,350,38.2,45.4,42820,Petrol,Cruiser,Like New,Manual,2nd Owner,57602.35
Suzuki,Access 125,2021,160,13.2,65.6,97910,Petrol,Adventure,Used,Manual,1st Owner,18873.01
BMW,R1250GS,2023,1084,144.9,36.9,118403,Petrol,Adventure,Used,Manual,3rd Owner,690421.89
Ducati,Monster,2011,180,26.2,19.2,31672,Petrol,Cruiser,New,Automatic,2nd Owner,78115.59
TVS,Ntorq 125,2019,200,17.1,44.4,98143,Petrol,Naked,Used,Automatic,1st Owner,29882.84
KTM,Adventure 390,2008,390,61.4,56.9,56404,Petrol,Naked,New,Manual,1st Owner,184620.41
Royal Enfield,Meteor 350,2016,350,50.4,35.7,114135,Petrol,Commuter,Used,Manual,1st Owner,52407.32
BMW,G310GS,2024,160,12.1,49.8,70381,Petrol,Commuter,Like New,Manual,2nd Owner,110262.05
TVS,Apache RTR 200,2009,1250,187.6,48.8,36993,Electric,Adventure,Used,Automatic,2nd Owner,293113.74
Harley-Davidson,Street 750,2009,350,54.6,19.7,41342,Petrol,Scooter,Like New,Automatic,3rd Owner,156003.66
Suzuki,V-Strom,2010,250,18.5,42.5,78018,Petrol,Cruiser,New,Manual,2nd Owner,30668.12
TVS,Apache RTR 200,2011,883,105.8,18.4,83960,Petrol,Cruiser,Like New,Manual,3rd Owner,190540.66
Yamaha,YZF R1,2024,883,62.9,23.1,94872,Petrol,Cruiser,New,Automatic,2nd Owner,320047.13
Harley-Davidson,Street 750,2012,1084,169.5,18.0,79018,Petrol,Commuter,Like New,Automatic,3rd Owner,690522.8
Royal Enfield,Himalayan,2013,1084,128.5,24.0,47248,Petrol,Sport,Like New,Automatic,1st Owner,303559.71
Royal Enfield,Classic 350,2020,1250,179.8,32.8,114584,Petrol,Adventure,New,Manual,3rd Owner,559713.12
Yamaha,FZ-S,2012,500,62.4,45.5,107360,Petrol,Scooter,New,Automatic,2nd Owner,164716.64
KTM,Duke 200,2017,750,105.1,51.0,3664,Petrol,Cruiser,New,Automatic,2nd Owner,379140.21
Royal Enfield,Himalayan,2016,500,68.4,66.2,6765,Petrol,Scooter,Like New,Automatic,2nd Owner,155835.0
KTM,RC 390,2017,500,71.4,58.2,12148,Petrol,Naked,Like New,Manual,2nd Owner,157846.29
Ducati,Multistrada,2024,1000,135.5,42.1,112694,Petrol,Cruiser,Used,Automatic,2nd Owner,543614.3
Yamaha,R15,2023,350,24.3,64.0,99691,Petrol,Commuter,Used,Manual,1st Owner,98079.97
Ducati,Multistrada,2009,390,45.6,40.4,14082,Petrol,Scooter,Used,Automatic,3rd Owner,154544.01
Harley-Davidson,Iron 883,2012,1250,156.0,15.0,29921,Petrol,Commuter,New,Manual,2nd Owner,754433.6
Kawasaki,Ninja 300,2024,1000,117.5,48.6,74960,Petrol,Commuter,Like New,Automatic,3rd Owner,452846.07
Royal Enfield,Himalayan,2013,750,109.5,38.0,42463,Petrol,Sport,Like New,Manual,2nd Owner,289385.45
KTM,Duke 125,2009,150,14.2,72.6,62855,Petrol,Sport,Like New,Manual,3rd Owner,24392.96
Kawasaki,Ninja ZX-10R,2013,1340,167.5,43.6,77971,Petrol,Commuter,New,Automatic,3rd Owner,694420.87
Suzuki,Gixxer,2016,125,12.9,70.5,118009,Petrol,Scooter,Like New,Automatic,2nd Owner,12592.6
Ducati,Panigale V2,2019,350,55.3,45.4,75192,Petrol,Naked,Used,Manual,3rd Owner,187496.84
TVS,Apache RTR 160,2016,1340,211.7,15.0,69938,Petrol,Commuter,Like New,Manual,1st Owner,430667.41
Suzuki,Gixxer,2020,150,16.1,41.9,92372,Petrol,Adventure,Used,Automatic,3rd Owner,19368.69
Royal Enfield,Himalayan,2010,750,78.9,55.8,53115,Petrol,Cruiser,Like New,Manual,2nd Owner,176493.98
TVS,Apache RTR 160,2022,110,6.9,57.6,69852,Electric,Cruiser,Used,Automatic,2nd Owner,15886.84
Yamaha,R15,2011,1000,77.7,19.6,114807,Petrol,Commuter,Like New,Automatic,3rd Owner,337883.59
Suzuki,Intruder,2009,883,113.3,16.9,104524,Petrol,Cruiser,Used,Manual,2nd Owner,135395.26
Yamaha,FZS-Fi,2011,160,18.5,78.7,86809,Petrol,Adventure,Used,Manual,3rd Owner,13916.3
Kawasaki,Ninja ZX-10R,2011,650,45.4,25.3,63470,Petrol,Scooter,Like New,Automatic,3rd Owner,211399.58
BMW,G310GS,2023,1340,119.7,35.0,84805,Petrol,Cruiser,New,Automatic,1st Owner,1055912.03
Ducati,Monster,2020,100,14.3,46.6,51461,Petrol,Cruiser,Like New,Manual,3rd Owner,44458.87
TVS,Raider 125,2022,180,11.7,54.1,6687,Petrol,Adventure,New,Automatic,3rd Owner,46848.4
KTM,Duke 125,2010,1084,142.4,25.2,13430,Petrol,Commuter,New,Automatic,1st Owner,388572.32
TVS,Apache RTR 160,2006,650,103.2,23.0,1121,Petrol,Scooter,Used,Automatic,1st Owner,101488.72
Ducati,Monster,2009,160,12.9,50.9,55922,Petrol,Scooter,Like New,Automatic,2nd Owner,89723.41
Royal Enfield,Thunderbird,2005,750,96.9,50.8,25337,Petrol,Adventure,Used,Manual,3rd Owner,159541.65
Suzuki,Access 125,2007,150,19.7,31.4,24533,Petrol,Commuter,Like New,Automatic,3rd Owner,8000.0
Royal Enfield,Himalayan,2023,300,21.8,30.0,116371,Petrol,Sport,Like New,Automatic,1st Owner,132723.6
Yamaha,FZ-S,2012,110,14.7,67.0,106197,Petrol,Adventure,Like New,Automatic,2nd Owner,13008.83
KTM,Duke 390,2011,390,58.6,23.1,113154,Petrol,Commuter,Used,Automatic,1st Owner,61378.7
Royal Enfield,Bullet 350,2007,250,30.0,32.0,58023,Electric,Adventure,New,Automatic,1st Owner,57305.71
KTM,RC 390,2006,150,9.6,53.9,81579,Petrol,Scooter,Used,Automatic,2nd Owner,15537.79
Honda,CBR 650R,2005,1340,153.5,15.0,112829,Petrol,Scooter,New,Automatic,3rd Owner,319056.42
Harley-Davidson,Sportster,2017,350,36.9,49.0,31651,Petrol,Naked,Used,Automatic,3rd Owner,184786.19
KTM,RC 390,2012,160,22.5,36.0,51415,Petrol,Commuter,Used,Manual,2nd Owner,13677.07
KTM,Duke 390,2017,160,24.8,60.3,55699,Petrol,Adventure,Like New,Automatic,2nd Owner,49788.74
Ducati,Panigale V2,2021,200,29.2,33.4,115005,Petrol,Naked,Used,Automatic,3rd Owner,91697.47
Royal Enfield,Meteor 350,2017,160,13.1,42.9,119077,Petrol,Naked,Used,Manual,1st Owner,21471.42
Ducati,SuperSport,2018,180,18.0,71.5,74869,Petrol,Cruiser,Like New,Manual,3rd Owner,113898.75
Ducati,Multistrada,2019,250,17.4,69.4,41946,Petrol,Naked,Like New,Manual,3rd Owner,104329.8
Honda,Activa,2007,390,58.7,62.7,28419,Petrol,Sport,Used,Automatic,3rd Owner,53878.62
Suzuki,Hayabusa,2014,150,17.4,66.2,21898,Petrol,Naked,Like New,Automatic,1st Owner,22068.12
Royal Enfield,Meteor 350,2008,160,19.0,68.8,115873,Petrol,Adventure,Used,Manual,1st Owner,23252.96
Harley-Davidson,Sportster,2023,180,14.0,48.1,88549,Petrol,Cruiser,New,Automatic,1st Owner,141516.93
Suzuki,Gixxer,2011,390,37.6,35.2,46992,Petrol,Adventure,New,Automatic,1st Owner,61975.32
KTM,Duke 200,2020,390,52.6,66.5,40691,Petrol,Adventure,Used,Manual,2nd Owner,115382.55
Yamaha,MT-15,2022,110,10.8,34.0,96790,Petrol,Cruiser,Used,Manual,2nd Owner,16106.82
Ducati,Multistrada,2016,1084,86.0,52.1,45343,Petrol,Cruiser,Like New,Automatic,3rd Owner,494560.89
Harley-Davidson,Iron 883,2015,1084,81.7,55.1,100385,Petrol,Sport,New,Automatic,1st Owner,952383.77
Yamaha,FZ-S,2005,390,27.5,61.4,82567,Petrol,Adventure,Like New,Automatic,3rd Owner,61757.27
Kawasaki,Ninja 300,2010,125,11.5,61.7,90363,Petrol,Sport,Like New,Manual,2nd Owner,11869.56
Kawasaki,Ninja ZX-10R,2024,180,14.0,45.3,113339,Petrol,Commuter,Like New,Manual,1st Owner,40159.52
KTM,Duke 125,2011,150,21.5,59.6,42627,Petrol,Commuter,New,Automatic,3rd Owner,28370.31
Royal Enfield,Meteor 350,2018,300,40.6,61.4,86331,Petrol,Scooter,Used,Automatic,2nd Owner,40158.12
BMW,G310R,2024,750,89.1,18.2,2072,Petrol,Scooter,New,Automatic,2nd Owner,637842.24
TVS,Apache RTR 160,2023,300,34.4,55.7,106794,Petrol,Adventure,Used,Automatic,2nd Owner,53182.76
Suzuki,Gixxer,2016,750,56.5,30.4,111450,Petrol,Adventure,Used,Automatic,2nd Owner,123172.23
Honda,CB Hornet,2015,650,77.5,62.7,2328,Petrol,Scooter,New,Automatic,1st Owner,146041.08
Ducati,Scrambler,2009,300,32.6,40.3,40283,Petrol,Naked,Used,Manual,1st Owner,134237.9
Suzuki,V-Strom,2006,500,50.8,68.0,62982,Petrol,Commuter,New,Automatic,1st Owner,76284.98
Suzuki,Hayabusa,2014,750,87.4,41.3,45208,Petrol,Scooter,New,Automatic,2nd Owner,187229.14
BMW,R1250GS,2012,200,27.9,66.7,118799,Petrol,Adventure,Used,Automatic,3rd Owner,86257.48
BMW,G310GS,2012,1340,180.9,36.2,74332,Petrol,Sport,Used,Manual,2nd Owner,538482.61
Harley-Davidson,Road King,2024,300,25.4,22.3,101418,Petrol,Commuter,Used,Manual,2nd Owner,140022.31
TVS,Ntorq 125,2022,160,19.3,65.1,41678,Petrol,Naked,New,Manual,3rd Owner,37917.92
Kawasaki,W175,2021,350,31.4,28.8,112265,Electric,Cruiser,New,Automatic,1st Owner,106989.45
Ducati,Monster,2016,883,135.7,53.8,50572,Petrol,Naked,Used,Automatic,1st Owner,363276.43
TVS,Ntorq 125,2014,180,16.5,51.4,7371,Petrol,Naked,Used,Automatic,1st Owner,19931.17
Ducati,Multistrada,2017,180,23.7,39.0,37581,Petrol,Naked,New,Manual,3rd Owner,87898.63
Yamaha,R15,2009,150,14.2,50.9,99414,Petrol,Cruiser,Used,Manual,2nd Owner,8000.0
Honda,Africa Twin,2018,650,42.7,48.7,27665,Petrol,Sport,Used,Manual,1st Owner,85382.19
Kawasaki,Ninja ZX-10R,2006,110,14.0,34.5,114595,Petrol,Cruiser,Used,Automatic,3rd Owner,8000.0
Harley-Davidson,Iron 883,2018,1250,185.2,15.0,30581,Petrol,Sport,Used,Manual,3rd Owner,705848.49
Ducati,Panigale V2,2009,1250,169.3,15.0,35318,Petrol,Naked,Used,Manual,1st Owner,409326.72
Royal Enfield,Thunderbird,2008,350,22.5,34.9,88560,Petrol,Adventure,New,Manual,1st Owner,128172.03
Kawasaki,Z900,2023,350,52.2,58.5,107698,Petrol,Adventure,New,Manual,3rd Owner,155139.97
Honda,Activa,2005,200,27.1,64.8,94864,Petrol,Cruiser,Used,Automatic,3rd Owner,12155.98
TVS,Jupiter,2012,125,11.3,58.3,81669,Electric,Sport,Used,Automatic,1st Owner,8000.0
Suzuki,Gixxer,2006,500,68.5,29.4,115377,Petrol,Cruiser,Used,Manual,2nd Owner,80734.56
Royal Enfield,Thunderbird,2011,150,10.3,68.6,4480,Petrol,Adventure,New,Manual,1st Owner,16987.28
TVS,Raider 125,2013,300,19.1,20.6,91175,Petrol,Sport,Used,Automatic,1st Owner,27147.77
Suzuki,Gixxer,2023,110,14.0,62.1,93548,Petrol,Adventure,New,Automatic,1st Owner,32438.43
Harley-Davidson,Iron 883,2006,1340,118.8,39.9,64532,Petrol,Scooter,Like New,Automatic,1st Owner,624574.77
Harley-Davidson,Sportster,2010,500,38.7,47.8,19596,Petrol,Scooter,Used,Automatic,2nd Owner,203544.9
BMW,S1000RR,2009,1000,106.7,37.4,11830,Petrol,Commuter,Used,Automatic,3rd Owner,656861.94
Suzuki,Gixxer,2015,1084,80.2,56.3,45280,Petrol,Scooter,New,Automatic,3rd Owner,305480.44
Ducati,Monster,2018,150,20.1,68.8,75927,Electric,Naked,Like New,Automatic,1st Owner,96830.28
Harley-Davidson,Iron 883,2015,500,67.6,41.5,51985,Petrol,Cruiser,Like New,Automatic,3rd Owner,257068.48
Harley-Davidson,Fat Boy,2011,100,13.6,73.4,65407,Petrol,Sport,Like New,Automatic,1st Owner,26676.12
Yamaha,R15,2005,100,10.2,26.4,102220,Petrol,Sport,Used,Automatic,1st Owner,8000.0
TVS,Jupiter,2015,650,71.5,32.6,63210,Petrol,Naked,New,Automatic,1st Owner,175313.22
Harley-Davidson,Road King,2022,150,20.4,38.6,90264,Petrol,Sport,Used,Manual,2nd Owner,40757.68
Yamaha,FZ-S,2012,150,21.8,45.5,62009,Electric,Cruiser,Like New,Automatic,3rd Owner,21113.82
Honda,CB Hornet,2023,100,11.9,66.9,61209,Petrol,Naked,Used,Manual,2nd Owner,17181.18
Harley-Davidson,Street 750,2010,110,9.3,37.2,20789,Petrol,Sport,New,Automatic,2nd Owner,42716.19
Suzuki,V-Strom,2006,350,54.2,26.4,111326,Petrol,Scooter,Used,Automatic,3rd Owner,30197.24
Suzuki,Intruder,2023,100,11.4,42.3,3191,Petrol,Scooter,Used,Automatic,3rd Owner,14882.18
Ducati,SuperSport,2018,125,7.8,25.8,47376,Petrol,Naked,New,Manual,1st Owner,58110.42
Kawasaki,Ninja ZX-10R,2022,500,40.1,37.5,86517,Petrol,Adventure,New,Manual,1st Owner,182902.71
Ducati,Monster,2016,110,16.7,52.5,35350,Petrol,Sport,Used,Manual,2nd Owner,58814.37
Kawasaki,Ninja ZX-10R,2020,1000,74.5,22.5,82686,Petrol,Sport,New,Manual,3rd Owner,483425.42
Yamaha,YZF R1,2010,250,36.8,49.0,30036,Petrol,Adventure,New,Automatic,1st Owner,95880.25
BMW,R1250GS,2019,250,30.0,61.6,104108,Petrol,Adventure,Like New,Manual,1st Owner,144063.91
Ducati,SuperSport,2005,750,66.1,22.5,19579,Petrol,Sport,Used,Automatic,2nd Owner,450507.67
BMW,S1000RR,2022,390,45.2,67.2,64435,Petrol,Scooter,Like New,Automatic,3rd Owner,262008.97
TVS,Apache RTR 200,2020,390,57.5,21.0,68263,Petrol,Sport,Used,Automatic,2nd Owner,66729.86
BMW,F850GS,2023,200,25.2,37.5,68352,Petrol,Cruiser,Used,Automatic,3rd Owner,140380.52
Suzuki,Hayabusa,2011,500,42.4,51.2,61145,Petrol,Commuter,New,Automatic,3rd Owner,112873.94
BMW,F850GS,2020,500,33.6,27.4,74973,Petrol,Cruiser,New,Automatic,3rd Owner,268369.58
KTM,Adventure 390,2005,125,14.6,38.9,60106,Petrol,Naked,Like New,Automatic,3rd Owner,8000.0
Ducati,Scrambler,2024,150,10.6,45.4,24237,Petrol,Sport,New,Manual,2nd Owner,111426.4
Yamaha,FZS-Fi,2011,110,11.3,67.5,44750,Petrol,Scooter,Used,Automatic,2nd Owner,8000.0
TVS,Jupiter,2022,500,60.8,61.7,42012,Petrol,Commuter,Used,Manual,3rd Owner,96981.41
TVS,Jupiter,2020,150,9.0,28.7,60728,Petrol,Commuter,New,Automatic,1st Owner,28870.09
TVS,Ntorq 125,2019,200,27.0,35.4,58713,Petrol,Scooter,Used,Automatic,3rd Owner,25115.15
Kawasaki,Ninja ZX-10R,2018,1084,141.3,29.4,51342,Petrol,Naked,New,Automatic,1st Owner,508553.18
Ducati,Panigale V2,2017,200,25.7,31.4,94207,Petrol,Commuter,Used,Automatic,1st Owner,95385.49
Yamaha,FZS-Fi,2005,650,61.6,43.4,57685,Petrol,Adventure,New,Automatic,2nd Owner,199759.17
Royal Enfield,Thunderbird,2010,180,24.5,30.1,70090,Petrol,Sport,Used,Automatic,1st Owner,18393.32
Yamaha,YZF R1,2022,110,11.1,33.6,20033,Petrol,Adventure,Used,Manual,1st Owner,16408.33
Yamaha,YZF R1,2006,1340,112.1,39.2,97636,Petrol,Naked,Used,Automatic,1st Owner,266579.85
Yamaha,FZ-S,2008,300,34.0,62.0,61125,Petrol,Cruiser,Like New,Manual,1st Owner,61356.74
BMW,F850GS,2013,1084,91.3,43.0,52116,Petrol,Sport,Used,Manual,1st Owner,488924.21
Royal Enfield,Thunderbird,2012,883,53.0,22.3,84403,Petrol,Sport,New,Automatic,1st Owner,324505.59
Ducati,SuperSport,2022,650,73.0,55.5,68612,Petrol,Naked,Like New,Automatic,2nd Owner,401100.76
Harley-Davidson,Fat Boy,2006,200,19.5,31.4,15643,Petrol,Adventure,Used,Automatic,2nd Owner,48030.04
Honda,CB Hornet,2018,160,9.9,40.8,18829,Petrol,Cruiser,Used,Manual,1st Owner,12293.35
Harley-Davidson,Road King,2019,883,86.0,30.8,7230,Petrol,Commuter,Like New,Manual,2nd Owner,556793.98
Ducati,Monster,2024,350,31.9,34.1,114352,Petrol,Sport,Used,Automatic,1st Owner,126764.65
Yamaha,R15,2022,300,31.8,19.3,49162,Electric,Adventure,Used,Automatic,3rd Owner,72395.86
Honda,Africa Twin,2023,150,17.5,67.1,67867,Electric,Naked,Like New,Automatic,3rd Owner,28745.36
Ducati,Multistrada,2019,300,27.1,27.8,81354,Petrol,Adventure,New,Manual,1st Owner,253453.21
TVS,Apache RTR 200,2018,160,13.8,35.6,28105,Electric,Sport,New,Automatic,1st Owner,25906.68
Harley-Davidson,Fat Boy,2020,150,17.4,20.5,81344,Petrol,Cruiser,Used,Automatic,3rd Owner,92587.12
BMW,S1000RR,2021,160,16.5,58.0,89969,Petrol,Naked,New,Manual,1st Owner,90216.46
Royal Enfield,Thunderbird,2017,110,11.7,69.1,14458,Petrol,Naked,New,Manual,1st Owner,22872.62
KTM,Duke 125,2016,750,114.5,48.5,11133,Petrol,Naked,Used,Manual,2nd Owner,158412.91
Ducati,Panigale V2,2018,1000,103.0,57.5,40871,Petrol,Adventure,Used,Manual,2nd Owner,368112.79
Suzuki,Hayabusa,2010,390,58.4,49.7,11288,Petrol,Sport,New,Automatic,2nd Owner,114607.28
Suzuki,Gixxer,2005,1000,117.2,24.6,48572,Petrol,Scooter,Used,Automatic,3rd Owner,174515.37
BMW,G310R,2006,1340,159.9,15.0,25698,Petrol,Adventure,Used,Manual,2nd Owner,666744.68
TVS,Jupiter,2009,125,11.0,47.3,102221,Petrol,Sport,Used,Manual,3rd Owner,8000.0
Suzuki,V-Strom,2019,500,42.0,63.6,107276,Petrol,Commuter,Used,Automatic,1st Owner,60309.62
Yamaha,FZ-S,2023,150,12.6,31.7,95234,Petrol,Cruiser,Like New,Automatic,3rd Owner,44978.23
KTM,Duke 125,2014,200,19.8,65.2,51722,Petrol,Sport,New,Manual,2nd Owner,67244.84
Ducati,Multistrada,2019,160,23.5,63.2,86798,Petrol,Naked,Like New,Manual,1st Owner,62307.4
Yamaha,FZS-Fi,2015,160,10.2,27.0,65427,Petrol,Commuter,Like New,Manual,2nd Owner,17922.94
BMW,G310GS,2016,390,38.6,15.0,66177,Petrol,Commuter,Used,Automatic,3rd Owner,180660.32
TVS,Apache RTR 200,2018,110,6.8,45.4,71120,Petrol,Adventure,New,Automatic,2nd Owner,12001.04
Yamaha,FZS-Fi,2018,883,131.7,55.8,41811,Petrol,Commuter,Used,Automatic,2nd Owner,311598.88
TVS,Jupiter,2017,300,46.8,21.0,108176,Petrol,Adventure,New,Automatic,1st Owner,93840.15
KTM,Adventure 390,2005,1084,172.2,51.6,103783,Petrol,Naked,Like New,Manual,2nd Owner,299227.4
Royal Enfield,Classic 350,2012,650,81.0,41.5,26748,Electric,Adventure,New,Automatic,2nd Owner,333620.86
Suzuki,Hayabusa,2010,350,55.9,47.7,27250,Petrol,Cruiser,New,Automatic,2nd Owner,100620.22
Yamaha,R15,2008,100,7.2,75.9,99911,Petrol,Commuter,New,Automatic,2nd Owner,8000.0
Harley-Davidson,Sportster,2008,1000,154.5,43.2,103915,Petrol,Commuter,Used,Manual,3rd Owner,639545.67
TVS,Apache RTR 160,2007,180,16.9,32.5,70598,Petrol,Scooter,Used,Automatic,1st Owner,8000.0
Yamaha,YZF R1,2017,200,30.7,27.9,77354,Petrol,Sport,Like New,Manual,3rd Owner,68063.82
Harley-Davidson,Road King,2015,500,46.9,30.6,987,Petrol,Sport,Like New,Automatic,3rd Owner,325575.33
BMW,R1250GS,2007,160,19.6,61.6,15769,Petrol,Adventure,Used,Automatic,1st Owner,31386.56
BMW,F850GS,2014,1250,107.3,45.8,7697,Petrol,Scooter,New,Automatic,3rd Owner,931252.47
BMW,R1250GS,2007,1084,142.2,22.0,53829,Electric,Cruiser,Used,Automatic,1st Owner,719277.4
TVS,Raider 125,2008,500,70.0,28.2,42221,Petrol,Commuter,Like New,Manual,3rd Owner,86291.72
KTM,Duke 125,2007,1250,114.0,55.6,119293,Petrol,Cruiser,New,Automatic,1st Owner,524553.48
BMW,S1000RR,2006,160,18.3,29.8,14502,Petrol,Sport,Used,Automatic,2nd Owner,37577.98
KTM,Duke 390,2007,390,51.0,25.3,114099,Petrol,Sport,Used,Manual,3rd Owner,66930.31
KTM,Duke 390,2018,100,10.3,60.4,96163,Petrol,Commuter,Used,Manual,1st Owner,13090.79
KTM,RC 390,2016,160,20.0,37.3,38204,Petrol,Naked,New,Automatic,2nd Owner,47270.52
Ducati,SuperSport,2011,300,39.3,50.2,76548,Petrol,Scooter,New,Automatic,1st Owner,150851.02
Honda,CB Shine,2017,160,9.8,70.6,869,Petrol,Scooter,New,Automatic,3rd Owner,18430.66
Suzuki,Access 125,2008,500,37.3,30.0,89670,Petrol,Scooter,New,Automatic,3rd Owner,91627.32
Kawasaki,Ninja ZX-10R,2020,300,26.7,42.3,21288,Petrol,Sport,Like New,Automatic,3rd Owner,104266.72
Suzuki,Hayabusa,2013,180,14.8,48.9,69914,Petrol,Adventure,Used,Automatic,3rd Owner,9768.05
Harley-Davidson,Road King,2013,180,20.0,44.8,102868,Petrol,Adventure,Used,Manual,3rd Owner,73475.57
BMW,G310GS,2013,150,22.5,33.4,98332,Petrol,Sport,Like New,Manual,1st Owner,51132.4
KTM,Duke 125,2023,1084,102.0,49.1,941,Petrol,Sport,Used,Automatic,3rd Owner,209801.45
Royal Enfield,Thunderbird,2013,300,36.7,46.7,79349,Petrol,Cruiser,New,Automatic,2nd Owner,116542.3
BMW,S1000RR,2020,250,37.4,44.7,74219,Electric,Sport,New,Automatic,3rd Owner,162220.59
Kawasaki,Ninja ZX-10R,2018,1250,121.4,60.1,72401,Petrol,Commuter,New,Manual,1st Owner,387701.73
TVS,Ntorq 125,2008,300,42.2,57.5,12752,Petrol,Commuter,Like New,Manual,1st Owner,52187.7
Kawasaki,Ninja 300,2020,300,21.0,45.0,1333,Petrol,Adventure,New,Automatic,2nd Owner,98539.86
TVS,Jupiter,2005,750,87.9,53.2,73413,Petrol,Sport,Like New,Manual,3rd Owner,149794.54
Suzuki,Access 125,2006,180,12.9,32.5,60905,Petrol,Adventure,New,Manual,1st Owner,9957.93
Royal Enfield,Thunderbird,2009,125,8.6,66.4,22962,Petrol,Naked,New,Automatic,1st Owner,8000.0
Ducati,Monster,2018,250,37.5,58.6,94049,Petrol,Scooter,Like New,Automatic,3rd Owner,227862.34
